geohash,median_distance_in_km,median_speed_kmh,avg_sd_ratio,search_got_estimates,search_for_quotes,search_got_quotes,fare_acceptance_rate,quote_acceptance_rate,completed_rides,conversion_rate
tf2gp,20.21,27.43,0,34,12,7,0.35294117647059,0.58,5,0.42
tf2ch,10.11,35.79,0,29,14,0,0.48275862069,0,0,0
tf35d,26.5,32.55,0,29,5,0,0.1724137931034,0,0,0
tf2ur,40,42.33,0,29,2,0,0.069,0,0,0
tf0zx,46.87,44.95,0,28,2,0,0.071,0,0,0
tf2b5,38.74,35.64,0,27,0,0,0,,0,
tf2c6,30.57,40.06,0,27,14,0,0.52,0,0,0
tf356,17.57,30.17,0,25,10,2,0.4,0.2,1,0.1
tf308,26.3,31.65,0,25,9,0,0.36,0,0,0
tf2fk,30.61,33.18,0,25,3,1,0.12,0.33,1,0.33
tf28y,54.25,37.6,0,24,2,0,0.083,0,0,0
tf2bt,12.54,37.06,0,24,13,1,0.54,0.076923076923077,0,0
tf303,24.59,37.39,0,22,1,1,0.045,1,1,1
tf29n,7.85,35.41,0,22,3,0,0.14,0,0,0
tf352,21.19,28.51,0,22,6,0,0.27,0,0,0
tf2c4,29.63,37.26,0,21,3,0,0.14,0,0,0
tf351,15.86,25.58,0,21,6,0,0.29,0,0,0
tf2fg,58.46,38.27,0,20,11,1,0.55,0.09090909090909091,1,0.09090909090909091
tf2gz,39.34,37.09,0,18,5,0,0.28,0,0,0
tf2dg,1.58,23.64,0,17,8,0,0.47059,0,0,0
tf2cd,42.88,41.2,0,17,1,0,0.058823529411764705,0,0,0
tf2bb,12.78,40.35,0,17,4,0,0.235294117647059,0,0,0
tf0zr,27.32,50.83,0,17,4,1,0.235294117647059,0.25,0,0
tf29r,19.93,49.19,0,16,9,0,0.56,0,0,0
tf2gj,33.39,35.73,0,16,2,0,0.13,0,0,0
tf2cs,20.48,42.42,0,16,0,0,0,,0,
tf2gx,32.69,33.95,0,14,1,0,0.071,0,0,0
tf2bx,21.02,39.39,0,14,1,0,0.071,0,0,0
tf2dk,54.72,39.02,0,13,0,0,0,,0,
tf2bz,15.5,31.56,0,13,6,0,0.46,0,0,0
tf2bg,37.17,43.89,0,12,0,0,0,,0,
tf35c,10.03,23.7,0,12,3,0,0.25,0,0,0
tf2c7,28.2,42.74,0,11,2,0,0.18,0,0,0
tf358,18.75,38.19,0,11,4,2,0.36,0.5,1,0.25
tf2gr,27.79,32.05,0,11,0,0,0,,0,
tf2f9,46.22,34.32,0,10,1,0,0.1,0,0,0
tf0z1,0.82,20.44,0,9,2,0,0.22,0,0,0
tf2up,24.61,39.24,0,9,3,0,0.33,0,0,0
tf1pc,53.57,42.22,0,8,0,0,0,,0,
tf2c1,18.45,39.66,0,8,0,0,0,,0,
tf0zd,20.56,47.89,0,7,0,0,0,,0,
tf301,47.87,44.83,0,7,0,0,0,,0,
tf2f0,7.1,36.81,0,6,6,1,1,0.17,0,0
tf2bf,17.95,41.58,0,6,5,0,0.83,0,0,0
tf353,7.87,29.84,0,6,2,0,0.33,0,0,0
tf2fu,20.79,28.23,0,6,1,0,0.17,0,0,0
tf359,25.49,35.27,0,6,1,1,0.17,1,0,0
tf2uq,30.43,34.95,0,6,2,0,0.33,0,0,0
tf2gt,45.51,32.87,0,6,0,0,0,,0,
tf2f6,51.66,35.2,0,6,0,0,0,,0,
tf2e5,2.19,17.71,0,5,5,0,1,0,0,0
tf2f1,17.94,34.82,0,5,4,0,0.8,0,0,0
tf2cf,32.9,36.82,0,5,0,0,0,,0,
tf2br,31.16,35.32,0,5,1,0,0.2,0,0,0
tf2bn,13.19,43.62,0,5,2,0,0.4,0,0,0
tf2bw,32.64,33.61,0,5,0,0,0,,0,
tf2c3,46.63,32.16,0,5,2,0,0.4,0,0,0
tf1p8,24.24,27.71,0,4,2,0,0.5,0,0,0
tf2gm,26.05,34.97,0,4,0,0,0,,0,
tf35e,34.69,31.22,0,4,0,0,0,,0,
tf28z,52.37,42.68,0,4,0,0,0,,0,
tf29p,57.54,38.81,0,4,2,0,0.5,0,0,0
tf2g5,53.95,30.61,0,4,0,0,0,,0,
tf2b7,5.14,23,0,4,0,0,0,,0,
tf2gy,4.89,28.82,0,4,2,0,0.5,0,0,0
tf2f2,15.68,27.77,0,4,0,0,0,,0,
tf0zf,38.57,38.68,0,3,0,0,0,,0,
tf2cc,40.16,40.49,0,3,0,0,0,,0,
tf357,29.08,29.54,0,3,0,0,0,,0,
tf2f4,12.79,34.69,0,3,1,0,0.33,0,0,0
tf300,39.95,35.11,0,3,1,0,0.33,0,0,0
tf2d5,69.31,33.36,0,3,0,0,0,,0,
tf2dx,45.02,41.83,0,3,0,0,0,,0,
tf0z4,1.33,17.91,0,3,0,0,0,,0,
tf2dm,33.49,37.08,0,3,0,0,0,,0,
tf2gq,54.49,27.94,0,3,0,0,0,,0,
tf28k,4.18,29.89,0,3,0,0,0,,0,
tf0zt,69.46,51.74,0,2,0,0,0,,0,
tf29x,19.43,36.09,0,2,0,0,0,,0,
tf29g,47.07,26.06,0,2,0,0,0,,0,
tf0zv,69.53,35.14,0,2,0,0,0,,0,
tf3h3,33.97,31.47,0,2,0,0,0,,0,
tf29d,34.33,41.95,0,2,0,0,0,,0,
tf2dj,61.39,42.62,0,2,0,0,0,,0,
